 DRACARYS_GLOSS:0 "Alto Valyriano per "fuoco di drago" - usato dai signori dei draghi per comandare le fiamme ai propri draghi."
d_nf_takapis: "$dynn_Takapis$ Famiglia"
AGOT_VERSION:0 "Beta Aperta 0.4.19"
AGOT_REQUIRED_VERSION:0 "Crane (1.18.2)"
VERSION_MISMATCH_DESCRIPTION:0 "Caro #clickable [SelectLocalization(Or(Not(POPSStatusIsLoggedIn), POPStatusIsUserNameEmpty), 'NULL_USERNAME', 'FULL_USERNAME')]#!,\n\nla tua versione di CK3 è #negative_value [GetGameVersionInfoShort]#! mentre CK3AGOT richiede #positive_value $AGOT_REQUIRED_VERSION$#!. Se scegli di proseguire da qui, questo può causare la rottura dei tuoi salvataggi precedenti o far sì che i nuovi salvataggi si comportino in modo inatteso.\n\nCliccare #high Conferma#! significa che comprendi questo avviso e non tenterai di segnalare bug che ne derivino.\n\nIn caso contrario, ti suggeriamo di uscire dal gioco per tornare alla versione #positive_value $AGOT_REQUIRED_VERSION$#!."
ERA_SEL_IG:0 "[Select_CString( GreaterThan_int32( '(int32)$YEAR|q$', '(int32)8000'), 'A.C.', Select_CString( GreaterThan_int32( '(int32)$YEAR|q$', '(int32)7898' ), 'A.D.', Select_CString( GreaterThan_int32( '(int32)$YEAR|q$', '(int32)6400' ), 'C.A.', Select_CString( GreaterThan_int32( '(int32)$YEAR|q$', '(int32)2500' ), 'A.H.', 'D.A.' ))))]"
ERA_SEL_DYNFOUND:0 "[Select_CString( GreaterThan_int32( DynastyHouse.GetFoundYear, '(int32)8000' ), 'A.C.', Select_CString( GreaterThan_int32( DynastyHouse.GetFoundYear, '(int32)7898' ), 'A.D.', Select_CString( GreaterThan_int32( DynastyHouse.GetFoundYear, '(int32)6400' ), 'C.A.', Select_CString( GreaterThan_int32( DynastyHouse.GetFoundYear, '(int32)2500' ), 'A.H.', 'D.A.' ))))]"
ERA_SEL_RULDESBIRTH:0 "[Select_CString( GreaterThan_int32( RulerDesignerWindow.GetBirthYear, '(int32)8000' ), 'A.C.', Select_CString( GreaterThan_int32( RulerDesignerWindow.GetBirthYear, '(int32)7898' ), 'A.D.', Select_CString( GreaterThan_int32( RulerDesignerWindow.GetBirthYear, '(int32)6400' ), 'C.A.', Select_CString( GreaterThan_int32( RulerDesignerWindow.GetBirthYear, '(int32)2500' ), 'A.H.', 'D.A.' ))))]"
ERA_SEL_CULTURE:0 "[Select_CString( GreaterThan_int32( DATE.GetYear, '(int32)8000' ), 'A.C.', Select_CString( GreaterThan_int32( DATE.GetYear, '(int32)7898' ), 'A.D.', Select_CString( GreaterThan_int32( DATE.GetYear, '(int32)6400' ), 'C.A.', Select_CString( GreaterThan_int32( DATE.GetYear, '(int32)6400' ), 'C.A.', Select_CString( GreaterThan_int32( DATE.GetYear, '(int32)2500' ), 'A.H.', 'D.A.' )))))]"
ERA_SEL_SGI:0 "[Select_CString( GreaterThanOrEqualTo_int32('(int32)8000', '(int32)1'), Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.C. ', 'C.A. ' ) ), Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.C. ', 'C.A. ' ))]"
ERA_SEL_SR:0 "[Select_CString( GreaterThanOrEqualTo_int32('(int32)8000', '(int32)1'), Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.C. ', 'C.A. ' ) ), Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedBookmark.GetDate.GetYear, '(int32)7898' ), 'A.C. ', 'C.A. ' ))]"
ERA_SEL_BSD:0 "[Select_CString( GreaterThanOrEqualTo_int32('(int32)8000', '(int32)1'), Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)8000' ), 'A.C. ', Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)7898' ), 'A.C. ', 'C.A. ' ) ), Select_CString( GreaterThanOrEqualTo_int32( GameSetup.GetSelectedDate.GetYear, '(int32)7898' ), 'A.C. ', 'C.A. ' ))]"
building_type_wilderness_01:0 "Selvagge Terre"
building_type_wilderness_01_desc:0 "Terre con nemici pericolosi, che non possono sostenere la vita umana se non colonizzate."
building_wilderness_01:0 "Selvagge Terre"
building_wilderness_01_desc:0 "Terre con nemici pericolosi, che non sostengono la vita umana se non colonizzate."
